gene_symbol	log2FoldChange	pvalue	padj	significance
ENSG00000239465	-0.425292319155835	0.799578095126263	NA	Not significant
MIR1272	-0.714361120619689	0.655131908183459	NA	Not significant
ENSG00000270218	-0.878334597273433	0.761889254466478	NA	Not significant
SLC51B	0.105611428101073	0.923540644205677	NA	Not significant
KBTBD13	0.0257142809277243	0.993738634267114	NA	Not significant
ENSG00000278737	-1.13587556850132	0.150363140104512	NA	Not significant
ENSG00000259258	-0.63135556906946	0.847208360494756	NA	Not significant
ENSG00000279268	-0.0526848043419013	0.973370835410358	NA	Not significant
RNU6-686P	NA	NA	NA	Not significant
ENSG00000259346	0.151641016194834	0.963088569939418	NA	Not significant
ENSG00000270690	NA	NA	NA	Not significant
ENSG00000252217	-0.466650168772926	0.886753558172694	NA	Not significant
RNU6-19P	-0.878445553685316	0.78862546843293	NA	Not significant
MIR4511	-0.134734203079792	0.930753420655245	NA	Not significant
HNRNPA1P44	0.579105395217942	0.681196125043909	NA	Not significant
ENSG00000283249	0.231811359575286	0.943600958895995	NA	Not significant
MIR4311	NA	NA	NA	Not significant
ENSG00000223271	-0.342903546824722	0.916654403516215	NA	Not significant
ENSG00000240821	NA	NA	NA	Not significant
ATP5J2P6	-0.180382797719837	0.956098945071449	NA	Not significant
ENSG00000243404	0.279560651247081	0.909403236339129	NA	Not significant
MIR4512	0.118795917090042	0.871847410494311	NA	Not significant
SNORD18C	NA	NA	NA	Not significant
ENSG00000280554	NA	NA	NA	Not significant
SNORD18B	NA	NA	NA	Not significant
SNORD16	NA	NA	NA	Not significant
SNORD18A	NA	NA	NA	Not significant
LINC01169	1.37103472148849	0.123176566519854	NA	Not significant
ENSG00000270490	-0.923559695180663	0.378715753710275	NA	Not significant
LINC02206	-0.425258507495494	0.896737792745439	NA	Not significant
HMGN2P47	NA	NA	NA	Not significant
ENSG00000259202	-0.425258507495494	0.896737792745439	NA	Not significant
RPS24P16	0.644005516870409	0.844188335178754	NA	Not significant
ENSG00000259410	-0.635744849539338	0.840204987086513	NA	Not significant
ENSG00000245719	-0.855568875402436	0.580813062615838	NA	Not significant
RNU6-1	0.138786354725326	0.880684203072198	NA	Not significant
ENSG00000261702	0	1	NA	Not significant
ENSG00000260109	0.929717369050935	0.662207944768271	NA	Not significant
HMGN2P40	-0.342903546824722	0.916654403516215	NA	Not significant
CARSP1	-0.466650168772926	0.886753558172694	NA	Not significant
ENSG00000259286	1.25874699268899	0.0934007057641004	NA	Not significant
ENSG00000137808	NA	NA	NA	Not significant
ENSG00000259265	NA	NA	NA	Not significant
ENSG00000259222	0.193032677226407	0.953022932485911	NA	Not significant
ENSG00000259504	-0.456029329931526	0.5204617728864	NA	Not significant
ENSG00000207395	NA	NA	NA	Not significant
ENSG00000259191	0.182386554122345	0.915629552614648	NA	Not significant
ENSG00000207119	0.600405270137383	0.41927148258695	NA	Not significant
ENSG00000259457	-2.24959201101133	0.316838287087093	NA	Not significant
ENSG00000259496	NA	NA	NA	Not significant
ENSG00000259309	-0.180382797719837	0.956098945071449	NA	Not significant
MIR629	0.134880677223812	0.867853800048012	NA	Not significant
RNU6-745P	-0.549000608432912	0.866940003412431	NA	Not significant
ENSG00000259252	-0.52735545589998	0.664064194336187	NA	Not significant
ENSG00000259503	-0.713714850229705	0.827570776008327	NA	Not significant
LINC02205	-2.23917519355179	0.0424921207315531	NA	Not significant
ENSG00000259227	-0.180382797719837	0.956098945071449	NA	Not significant
ENSG00000281264	-0.342903546824722	0.916654403516215	NA	Not significant
ENSG00000280515	-0.701700988767377	0.830428952744192	NA	Not significant
ENSG00000259532	-1.18456856807179	0.48965480827006	NA	Not significant
ENSG00000259624	-0.342903546824722	0.916654403516215	NA	Not significant
ENSG00000259452	NA	NA	NA	Not significant
ENSG00000235420	-0.925178849215984	0.680446317938748	NA	Not significant
RPL5P3	-0.55707934303225	0.596377640398866	NA	Not significant
CT62	-0.321803912295398	0.752315720297206	NA	Not significant
THSD4-AS1	-0.097761040200018	0.94524294673141	NA	Not significant
ENSG00000212664	0.0546642841681971	0.975307974962585	NA	Not significant
ENSG00000278408	0.494953158133283	0.782974754628969	NA	Not significant
ENSG00000260037	-0.0111034683683224	0.986443604127146	NA	Not significant
RNA5SP399	-0.180382797719837	0.956098945071449	NA	Not significant
ENSG00000261632	0.249600021638566	0.888341811119187	NA	Not significant
RNU2-65P	NA	NA	NA	Not significant
ENSG00000260173	0.200331329055909	0.838622528611987	NA	Not significant
ENSG00000273025	NA	NA	NA	Not significant
RPL12P35	-1.05620913840233	0.303901482469711	NA	Not significant
TMEM202	-1.23940737957462	0.568623895050738	NA	Not significant
PHBP20	0.17080925478753	0.932715235568468	NA	Not significant
ENSG00000283798	NA	NA	NA	Not significant
ENSG00000260534	NA	NA	NA	Not significant
ENSG00000278313	-0.753827950679221	0.697089114856503	NA	Not significant
LINC02259	-0.587901919131743	0.705471526713567	NA	Not significant
ENSG00000259909	NA	NA	NA	Not significant
GOLGA6B	-0.961979214856459	0.710584370673167	NA	Not significant
RN7SL853P	0.231811359575286	0.943600958895995	NA	Not significant
HIGD2B	-0.454245233912805	0.664629704248185	NA	Not significant
ENSG00000261281	-0.796066560126819	0.804707695128109	NA	Not significant
NPM1P42	-0.219101479667865	0.938300473933179	NA	Not significant
FKBP1AP2	-0.466650168772926	0.886753558172694	NA	Not significant
NPM1P43	-3.38333397435268	0.136691347710482	NA	Not significant
ENSG00000259528	-0.260553107117006	0.936622081672705	NA	Not significant
ENSG00000259650	0.151641016194834	0.963088569939418	NA	Not significant
REC114	0.0285125985540435	0.991202275626486	NA	Not significant
ENSG00000259186	-0.845120792960198	0.36815574829552	NA	Not significant
ENSG00000276807	-0.0954236656055712	0.97676705993751	NA	Not significant
C15orf59-AS1	-0.019422894811537	0.986403485942111	NA	Not significant
ENSG00000260624	-0.540950475670604	0.868873405622614	NA	Not significant
TBC1D21	-0.466650168772926	0.886753558172694	NA	Not significant
DNM1P33	2.20149287029065	0.0599794113269011	NA	Not significant
